Date,Mkt,SMB,HML,Rf
1988.7.15,-0.008085498,0.003056927,-0.00261238,0.000385498
1988.7.16,-0.009945674,0.001015188,-0.001344206,0.000345674
1988.7.18,-0.018163825,0.002430941,0.000894532,0.000363825
1988.7.19,0.024832555,-0.006716418,0.002750056,0.000367445
1988.7.20,-0.017263825,0.00549179,0.014841667,0.000363825
1988.7.21,-0.009760201,-0.008507616,0.01030775,0.000360201
1988.7.22,0.033990879,-0.012837794,1.76E-05,0.000309121
1988.7.23,0.019318106,-0.006372839,-0.000989834,0.000381894
1988.7.25,0.023607304,-0.003507561,-0.004341089,0.000392696
1988.7.26,-0.003492696,0.004465111,0.008088264,0.000392696
1988.7.27,-0.019489098,0.002273849,0.015211285,0.000389098
1988.7.28,-0.008392696,-0.004529326,0.000360134,0.000392696
1988.7.29,0.02770371,-0.01318266,-0.00554944,0.00039629
1988.7.30,0.005214502,-0.003259414,-0.003197214,0.000385498
1988.8.1,-0.009103469,-0.001481722,0.008988711,0.000403469
1988.8.2,-0.006756574,0.001076725,-0.006501099,0.000356574
1988.8.3,-0.007978287,0.003742029,-0.000198655,0.000378287
1988.8.4,-0.015763825,0.00493657,0.002486935,0.000363825
1988.8.5,-0.010060201,0.000490872,0.000313122,0.000360201
1988.8.6,0.008572561,0.000265841,0.002583541,0.000327439
1988.8.8,-0.004449818,0.001506772,0.006518865,0.000449818
1988.8.9,-0.004674676,-0.002900091,0.00545939,0.000374676
1988.8.10,-0.002681894,-0.000868161,0.003123158,0.000381894
1988.8.11,0.029525324,-0.012823663,-0.007368205,0.000374676
1988.8.12,0.003118106,0.002808976,0.000178626,0.000381894
1988.8.13,-0.006089098,-0.001989344,0.003172763,0.000389098
1988.8.16,0.008110902,-0.00015139,0.005763504,0.000389098
1988.8.17,-0.006667445,-0.001504121,-0.006367733,0.000367445
1988.8.18,0.005536175,-9.05E-05,0.002815786,0.000363825
1988.8.19,-0.006474676,0.000281021,-0.002004646,0.000374676
1988.8.20,-0.004067445,0.00211557,0.002661369,0.000367445
1988.8.22,-0.01479629,0.003204557,-0.002203833,0.00039629
1988.8.23,-0.005207053,-0.001345906,-0.000469991,0.000407053
1988.8.24,-0.005899881,0.00240039,0.002263812,0.000399881
1988.8.25,-0.006714213,0.001856294,0.006468709,0.000414213
1988.8.26,-0.009728493,0.005593323,0.002452745,0.000428493
1988.8.27,-0.008195635,-0.002277267,0.004834071,0.000495635
1988.8.29,-0.012232055,0.002679699,0.007387426,0.000432055
1988.8.30,0.018579911,0.000252089,-0.01301226,0.000520089
1988.8.31,-0.016642722,0.001127101,-0.004375594,0.000442722
1988.9.1,0.016489365,-0.008134089,-0.016458607,0.000410635
1988.9.2,-0.001928493,-0.003173825,-0.01018493,0.000428493
1988.9.3,0.005439562,-0.002660301,0.009064104,0.000460438
1988.9.5,-0.010828493,0.0058445,0.000782175,0.000428493
1988.9.6,-0.000914213,0.001503508,-0.004950818,0.000414213
1988.9.7,-0.005523783,0.007493236,-0.009741677,0.000323783
1988.9.8,-0.003924928,0.000991436,0.005412033,0.000424928
1988.9.9,0.025853728,-0.00723191,-0.004376809,0.000446272
1988.9.10,0.008664386,0.003690844,-0.00828159,0.000435614
1988.9.12,-0.002217788,-0.001086255,-0.001051394,0.000417788
1988.9.13,-0.010810635,0.003763021,-0.00290252,0.000410635
1988.9.14,0.003618106,-0.00130392,0.001193807,0.000381894
1988.9.15,-0.004303469,0.006786123,0.001749648,0.000403469
1988.9.16,-0.013589098,0.002638626,0.002865533,0.000389098
1988.9.19,-0.008371062,0.001897226,0.003468023,0.000371062
1988.9.20,-0.006156574,0.000150727,0.003509895,0.000356574
1988.9.21,4.71E-05,-0.001164859,0.001364418,0.000352944
1988.9.22,0.031209281,-0.0136799,-0.002498992,0.000290719
1988.9.23,-0.013649818,-7.57E-05,0.001662563,0.000449818
1988.9.24,0.007550182,-0.009552142,-0.0042855,0.000449818
1988.9.27,-0.013421359,0.001379228,0.000821325,0.000421359
1988.9.28,-0.00139629,-0.000209658,-0.003146569,0.00039629
1988.9.29,-0.000856574,-0.002410189,-0.002064375,0.000356574
1988.9.30,0.010414502,-0.005628822,-0.000247519,0.000385498
1988.10.4,0.002632555,-0.000303567,-0.003226421,0.000367445
1988.10.5,-0.008878287,0.000853037,0.006765601,0.000378287
1988.10.6,0.004828938,-0.003565204,0.003920762,0.000371062
1988.10.7,-0.004560201,0.001701841,0.002947925,0.000360201
1988.10.8,-0.000185498,-0.000507547,0.000433461,0.000385498
1988.10.10,0.001932555,-0.000357071,-0.002464532,0.000367445
1988.10.11,0.005825324,0.000208303,-0.002880639,0.000374676
1988.10.12,-0.001360201,-0.000497625,0.004447743,0.000360201
1988.10.13,0.008536175,-0.000592795,0.002140845,0.000363825
1988.10.14,0.019336175,0.00088349,-0.000862811,0.000363825
1988.10.15,0.009454326,0.000386524,-0.000372172,0.000345674
1988.10.17,0.003736175,-0.000182485,-0.003017476,0.000363825
1988.10.18,0.01136161,0.001851551,0.000612052,0.00033839
1988.10.19,0.014832555,0.002356181,-0.007030661,0.000367445
1988.10.20,0.014036175,0.005093472,-0.00479551,0.000363825
1988.10.21,-0.000934743,0.002832253,0.000984543,0.000334743
1988.10.22,0.01630191,-0.002666161,-0.001993992,0.00029809
1988.10.24,0.018943426,-0.001714742,-0.004000316,0.000356574
1988.10.25,-0.008449311,0.004181772,0.003033909,0.000349311
1988.10.26,-0.003760201,-0.004607622,-0.000858746,0.000360201
